Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private Peter Craigie,https://www.awm.gov.au/people/P10640239/#biography,1895,1895,"Australia: Queensland, Roxborough",none,Private,none,none,32nd Australian Infantry Battalion,none,1916-03-16,none,"2099 - First World War, 1914-1918",none,none,none,none
Private Joseph Crough,https://www.awm.gov.au/people/P10638371/#biography,1893,1893,"Australia: Victoria, Colac",none,Private,none,none,8th Australian Light Horse Regiment,none,1915-09-09,none,"1259 - First World War, 1914-1918",none,none,none,none
Private Kenneth Crough,https://www.awm.gov.au/people/P10678293/#biography,1896,1896,"Australia: Victoria, Warrnambool",none,Private,none,none,58th Australian Infantry Battalion,none,1915-05-10,none,"1125 - First World War, 1914-1918",7 April 1925,1925-04-07,"Australia: Victoria, Colac",none
Private Joseph Crowley,https://www.awm.gov.au/people/P10342697/#biography,1895,1895,"Australia: Western Australia, Kalgoorlie",none,Private,none,none,7th Australian Infantry Battalion,none,1916-10-02,none,"6626 - First World War, 1914-1918",19 January 1950,1950-01-19,none,none
Private John Cubbo,https://www.awm.gov.au/people/P10395374/#biography,1896,1896,"Australia: Queensland, Kilkivan",none,Private,none,none,5th Australian Light Horse Regiment,none,1918-09-14,none,"3121 - First World War, 1914-1918",none,none,none,none
Private Willie Cummings,https://www.awm.gov.au/people/P10678296/#biography,1898,1898,"Australia: Queensland, Stanley",none,Private,none,none,"Australian Mounted Divisional Train
Australian Army Service Corps",none,none,none,"63989 - First World War, 1914-1918",none,none,none,none
Private Charles David Cunningham,https://www.awm.gov.au/people/P10607650/#biography,1895,1895,"Australia: New South Wales, Forster",none,Private,none,none,56th Australian Infantry Battalion,none,1916-11-11,none,"3200 - First World War, 1914-1918",none,none,none,none
Private Henry Cunningham,https://www.awm.gov.au/people/P10511514/#biography,1891,1891,"Australia: New South Wales, Tuncurry",none,Private,none,none,53rd Australian Infantry Battalion,none,1917-01-24,none,"3361 - First World War, 1914-1918",none,none,none,none
Driver Sydney Moses Cunningham,https://www.awm.gov.au/people/P10511237/#biography,1893,1893,"Australia: New South Wales, Sydney, Glebe",none,Driver,none,none,3rd Australian Divisional Train,none,1916-05-02,none,"1501 - First World War, 1914-1918",1947,1947,"Australia: New South Wales, Sydney",none
Norman Daley,https://www.awm.gov.au/people/P10680105/#biography,none,none,"Australia: New South Wales, Wellington",none,none,none,Unlinked Conflict,"Depot
Australian Imperial Force",none,none,none,none,none,none,none,none
Private Alfred Dalton,https://www.awm.gov.au/people/P10544066/#biography,1896,1896,"Australia: New South Wales, Mungindi",none,Private,none,none,3rd Australian Infantry Battalion,none,1916-05-04,none,"748 - First World War, 1914-1918",none,none,none,none
Private Horace Thomas Dalton,https://www.awm.gov.au/people/P10678308/#biography,28 January 1899,1899-01-28,"Australia: Queensland, Dunwich",none,Private,none,none,11th Australian Light Horse Regiment,none,none,none,"57247 - First World War, 1914-1918",none,none,none,none
Private Stanley Alick Dalton,https://www.awm.gov.au/people/P10491127/#biography,1894,1894,"Australia: New South Wales, Moree",none,Private,none,none,53rd Australian Infantry Battalion,none,1916-05-04,none,"1547 - First World War, 1914-1918",none,none,none,none
Dick Davey,https://www.awm.gov.au/people/P10678311/#biography,1894,1894,"Australia: South Australia, Penong",1917-06-25,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Augustus Hodgkinson Davies,https://www.awm.gov.au/people/P10547364/#biography,25 December 1885,1885-12-25,"Australia: Queensland, North Queensland, Port Douglas",1917-05-25,Private,none,none,41st Australian Infantry Battalion,none,1917-06-14,none,"3282 - First World War, 1914-1918Q187467 - Second World War, 1939-1945",none,none,none,none
Private Alfred Davis,https://www.awm.gov.au/people/P10467993/#biography,19 January 1889,1889-01-19,"Australia: Victoria, Healesville",none,Private,none,none,Australian Army Service Corps,none,1918-07-23,none,"55596 - First World War, 1914-1918",none,none,none,none
Private Barney Davis,https://www.awm.gov.au/people/P10539811/#biography,1885,1885,"Australia: Western Australia, Halls Creek",none,Private,none,none,43rd Australian Infantry Battalion,none,1917-10-31,none,"3724 - First World War, 1914-1918",none,none,none,none
Private Thomas Davis,https://www.awm.gov.au/people/P10538432/#biography,1895,1895,"Australia: New South Wales, Cowra",none,Private,none,none,55th Australian Infantry Battalion,none,1916-11-11,none,"3132 - First World War, 1914-1918",none,none,none,none
Thomas Davis,https://www.awm.gov.au/people/P10678314/#biography,1895,1895,"Australia: New South Wales, Brungle",none,none,none,none,none,none,none,none,"5013 - First World War, 1914-1918",none,none,none,none
William Charles Davis,https://www.awm.gov.au/people/P10678315/#biography,1898,1898,"Australia: New South Wales, Singleton",1916-10-12,none,none,none,none,none,none,none,"3111 - First World War, 1914-1918",none,none,none,none
Private John James Delaney,https://www.awm.gov.au/people/P10329051/#biography,1882,1882,"Australia: Queensland, Longreach",none,Private,none,"First World War, 1914-1918",11th Depot Battalion,none,none,none,none,4 September 1916,1916-09-04,Australia,none
Edward James Dennison,https://www.awm.gov.au/people/P10678317/#biography,1895,1895,"Australia: New South Wales, Moree",none,none,none,none,none,none,none,none,"N74184 - First World War, 1914-1918",none,none,none,none
Ossie Dick,https://www.awm.gov.au/people/P10678318/#biography,1897,1897,"Australia: Queensland, Roma",1917-05-14,none,none,none,none,none,none,none,"Q19609 - First World War, 1914-1918",none,none,none,none
Frederick Charles Dickerson,https://www.awm.gov.au/people/P10681470/#biography,none,none,"Australia: Western Australia, Northampton",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Harry Dickerson,https://www.awm.gov.au/people/P10654783/#biography,1894,1894,"Australia: Western Australia, York",none,Private,none,none,none,none,1915-11-22,none,"1561 - First World War, 1914-1918",none,none,none,none
Private Herbert Vivian Dickerson,https://www.awm.gov.au/people/P10681472/#biography,1900,1900,"Australia: Western Australia, Northampton",none,Private,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Trooper James Dickerson,https://www.awm.gov.au/people/P10677656/#biography,1883,1883,"Australia: Western Australia, Gingin",none,Trooper,none,none,10th Australian Light Horse Regiment,none,1915-02-17,none,"392 - First World War, 1914-1918",30 August 1915,1915-08-30,"Ottoman Empire: Turkey, Dardanelles, Gallipoli",none
Private Samuel Charles Dickerson,https://www.awm.gov.au/people/P10678322/#biography,1892,1892,"Australia: Western Australia, Northampton",none,Private,none,none,28th Australian Infantry Battalion,none,1916-01-18,none,"3083 - First World War, 1914-1918",29 July 1916,1916-07-29,France,none
Private Bertie Dixon,https://www.awm.gov.au/people/P10610456/#biography,2 April 1894,1894-04-02,"Australia: Queensland, Springsure",none,Private,none,none,none,none,1917-11-16,none,"7052 - First World War, 1914-1918",none,none,none,none
Private James Augustus Dixon,https://www.awm.gov.au/people/P10373836/#biography,1892,1892,"Australia: New South Wales, Sydney",none,Private,none,none,54th Australian Infantry Battalion,none,1916-11-09,none,"1596 - First World War, 1914-1918",none,none,none,none
Driver Percy Dixon,https://www.awm.gov.au/people/P10678326/#biography,3 September 1898,1898-09-03,"Australia: Queensland, Springsure",none,Driver,none,none,none,none,1916-11-09,none,"30106 - First World War, 1914-1918Q116658 - Second World War, 1939-1945",none,none,none,none
Frederick Dodd,https://www.awm.gov.au/people/P10678328/#biography,December 1893,1893-12,Australia: Queensland,none,none,none,none,none,none,none,none,"Q20409 - First World War, 1914-1918",none,none,none,none
Private Thomas Dodd,https://www.awm.gov.au/people/P10514410/#biography,1889,1889,"Australia: Queensland, Banana",none,Private,none,none,none,none,1916-10-21,none,"5818 - First World War, 1914-1918Q186530 - Second World War, 1939-1945",none,none,none,none
Private Thomas Dodd,https://www.awm.gov.au/people/P10678329/#biography,1896,1896,"Australia: New South Wales, Walgett",none,Private,none,none,35th Australian Infantry Battalion,none,1917-08-02,none,"3424 - First World War, 1914-1918",2 June 1918,1918-06-02,France,none
Private Clive Donnelly,https://www.awm.gov.au/people/P10680102/#biography,none,none,"Australia: New South Wales, Yulgilbar Station",none,Private,none,none,Australian Imperial Force,none,none,none,"N76988 - First World War, 1914-1918",none,none,none,none
Private Arthur Doolan,https://www.awm.gov.au/people/P10680106/#biography,none,none,"Australia: New South Wales, Merah North",none,Private,none,none,none,none,none,none,"N78518 - First World War, 1914-1918",none,none,none,none
Robert Doolan,https://www.awm.gov.au/people/P10681473/#biography,1882,1882,"Australia: New South Wales, Pilliga",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Myrtle Douglas,https://www.awm.gov.au/people/P10680107/#biography,none,none,"Australia: Queensland, Laura",none,none,none,none,"Depot
Australian Imperial Force",none,none,none,"Q19614 - First World War, 1914-1918",none,none,none,none
Private Harry Doyle,https://www.awm.gov.au/people/P10656789/#biography,1897,1897,"Australia: Queensland, Charters Towers",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2426 - First World War, 1914-1918",none,none,none,none
Private Albert Mathew Drury,https://www.awm.gov.au/people/P10634953/#biography,1893,1893,"Australia: New South Wales, Nelligen",none,Private,none,none,none,none,1915-04-08,none,"863 - First World War, 1914-1918",1 February 1940,1940-02-01,"Australia: Queensland, Benholme",none
Private Walter Herbert Duncan,https://www.awm.gov.au/people/P10626386/#biography,1882,1882,"Australia: New South Wales, Moree",none,Private,none,none,none,none,1917-11-02,none,"3477 - First World War, 1914-1918",none,none,none,none
Private John James Dunn,https://www.awm.gov.au/people/P10453260/#biography,1882,1882,Australia: Queensland,none,Private,none,none,none,none,1916-09-09,none,"5580 - First World War, 1914-1918",none,none,none,none
Private Alfred Duroux,https://www.awm.gov.au/people/P10459533/#biography,1892,1892,"Australia: New South Wales, Cangai",none,Private,none,none,none,none,1918-10-22,none,"66446 - First World War, 1914-1918",none,none,none,none
Private Vere Clifton Dyson,https://www.awm.gov.au/people/P10678330/#biography,1894,1894,"Australia: Tasmania, Latrobe",none,Private,none,none,40th Australian Infantry Battalion,none,1917-02-10,none,"3035 - First World War, 1914-1918",5 October 1917,1917-10-05,"Belgium: Flanders, West-Vlaanderen, Polygon Wood",none
Private Henry James Eagles,https://www.awm.gov.au/people/P10376657/#biography,1891,1891,"Australia: New South Wales, Hillston",none,Private,none,none,none,none,1915-08-09,none,"1921 - First World War, 1914-1918",none,none,none,none
Private Herbert Walter Eagles,https://www.awm.gov.au/people/P10678332/#biography,1890,1890,"Australia: New South Wales, Hillston",none,Private,none,none,1st Australian Infantry Battalion,none,1915-10-05,none,"3300 - First World War, 1914-1918",20 June 1916,1916-06-20,France,none
Private Thomas Wolgar Eagles,https://www.awm.gov.au/people/P10420461/#biography,1890,1890,"Australia: New South Wales, Hillston",none,Private,none,none,1st Australian Infantry Battalion,none,1915-10-05,none,"3301 - First World War, 1914-1918",none,none,none,none
Private William Frederick Eagles,https://www.awm.gov.au/people/P10678331/#biography,1895,1895,"Australia: New South Wales, Hillston",none,Private,none,none,1st Australian Infantry Battalion,none,1915-10-05,none,"3302 - First World War, 1914-1918",12 July 1918,1918-07-12,France,none
Private William Edward Easton,https://www.awm.gov.au/people/P10556164/#biography,none,none,"Australia: Queensland, Southport",none,Private,none,none,none,none,1916-09-07,none,"2068 - First World War, 1914-1918",none,none,none,none
Private Alfred Ernest Edwards,https://www.awm.gov.au/people/P10573685/#biography,1890,1890,"Australia: New South Wales, Berry",none,Private,none,none,35th Australian Infantry Battalion,none,1916-11-25,none,"4534 - First World War, 1914-1918",none,none,none,none
Private Herbert Hockin Edwards,https://www.awm.gov.au/people/P10678847/#biography,5 May 1899,1899-05-05,"Australia: New South Wales, Berry",none,Private,none,none,"55th Australian Infantry Battalion
2/20th Australian Infantry Battalion",none,1918-07-30,none,"59737 - First World War, 1914-1918NX24859 - Second World War, 1939-1945",none,none,none,none
Private William Alex Egan,https://www.awm.gov.au/people/P10678334/#biography,1893,1893,"Australia: Victoria, Heywood",none,Private,none,none,60th Australian Infantry Battalion,none,1916-07-03,none,"5675 - First World War, 1914-1918",25 April 1918,1918-04-25,France,none
Private Frank Eggleston,https://www.awm.gov.au/people/P10590954/#biography,none,none,"Australia: Queensland, Ipswich",none,Private,none,none,none,none,1917-05-22,none,"3211 - First World War, 1914-1918",none,none,none,none
Private Evelyn Ellis,https://www.awm.gov.au/people/P10644927/#biography,1875,1875,"Australia: Queensland, Brisbane, Stradbroke Island",none,Private,none,none,7th Australian Machine Gun Company,none,1916-12-23,none,"554 - First World War, 1914-1918",29 March 1952,1952-03-29,none,none
Private George Arthur Ellis,https://www.awm.gov.au/people/P10633957/#biography,1888,1888,"Australia: Queensland, Brisbane",none,Private,none,none,"32nd Company Australian Army Service Corps Australian and New Zealand Divisional Train
Australian and New Zealand Mounted Divisional Train",none,1917-05-10,none,"3056 - First World War, 1914-1918",none,none,none,none
Private Billy Ellsdale,https://www.awm.gov.au/people/P10678336/#biography,1887,1887,"Australia: Queensland, Normanby",none,Private,none,none,47th Australian Infantry Battalion,none,1916-01-31,none,"4484 - First World War, 1914-1918",7 July 1916,1916-07-07,France,none
Private William Elmer,https://www.awm.gov.au/people/P10545061/#biography,1872,1872,"Australia: Tasmania, Latrobe",none,Private,none,none,40th Australian Infantry Battalion,none,1916-07-01,none,"315 - First World War, 1914-1918",none,none,none,none
Bernard Justin Enright,https://www.awm.gov.au/people/P10681474/#biography,none,none,none,none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private James Leo Enright,https://www.awm.gov.au/people/P10681475/#biography,none,none,"Australia: New South Wales, Coonamble",none,Private,none,none,11th Depot Battalion,none,none,none,"Q2636 - First World War, 1914-1918",none,none,none,none
Private William Bede Enright,https://www.awm.gov.au/people/P10479660/#biography,1880,1880,"Australia: New South Wales, Coonabarabran",none,Private,none,none,1st Australian Infantry Battalion,none,1916-05-04,none,"62 - First World War, 1914-1918",10 May 1949,1949-05-10,none,none
Benjamen Everett,https://www.awm.gov.au/people/P10681937/#biography,none,none,"Australia: Tasmania, Cape Barren Island",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private Julian Clifford Everett,https://www.awm.gov.au/people/P10347341/#biography,1896,1896,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,12th Australian Infantry Battalion,none,1916-08-24,none,"6271 - First World War, 1914-1918",none,none,none,none
Alfred James Everingham,https://www.awm.gov.au/people/P10681477/#biography,none,none,"Australia: New South Wales, Windsor",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Arthur Ephraim Everingham,https://www.awm.gov.au/people/P10681478/#biography,none,none,"Australia: New South Wales, Windsor",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Richard Everingham,https://www.awm.gov.au/people/P10681479/#biography,14 October 1886,1886-10-14,"Australia: New South Wales, Windsor",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private William Thomas Exton,https://www.awm.gov.au/people/P10544047/#biography,1879,1879,"Australia: New South Wales, Lismore",none,Private,none,none,"41st Australian Infantry Battalion
42nd Australian Infantry Battalion",none,1917-02-07,none,"3162 - First World War, 1914-1918",none,none,none,none
Corporal Augustus Pegg Farmer,https://www.awm.gov.au/people/P10677662/#biography,1888,1888,"Australia: Western Australia, Katanning",none,Corporal,none,none,16th Australian Infantry Battalion,none,1916-04-01,none,"4808 - First World War, 1914-1918",8 August 1918,1918-08-08,France,none
Private Kenneth Farmer,https://www.awm.gov.au/people/P10677660/#biography,1897,1897,"Australia: Western Australia, Katanning",none,Private,none,none,none,none,1916-12-23,none,"3373 - First World War, 1914-1918",none,none,none,none
Private Larry Farmer,https://www.awm.gov.au/people/P10677661/#biography,1885,1885,"Australia: Western Australia, Katanning",none,Private,none,none,28th Australian Infantry Battalion,none,1915-06-29,none,"621 - First World War, 1914-1918",4 August 1916,1916-08-04,France,none
Private Lewis Farmer,https://www.awm.gov.au/people/P10617226/#biography,1886,1886,"Australia: Western Australia, Katanning",none,Private,none,none,none,none,1915-06-29,none,"421 - First World War, 1914-1918",none,none,none,none
Private Richard Alfred Farrell,https://www.awm.gov.au/people/P10617022/#biography,none,none,"Australia: Tasmania, Hobart, Bridgewater",none,Private,none,none,none,none,1917-10-30,none,"3618 - First World War, 1914-1918",none,none,none,none
Private William Albert Farrell,https://www.awm.gov.au/people/P10488141/#biography,none,none,"Australia: Tasmania, Launceston",none,Private,none,none,none,none,1914-10-20,none,"228 - First World War, 1914-1918",none,none,none,none
Matthias Feehan,https://www.awm.gov.au/people/P10681480/#biography,7 August 1898,1898-08-07,"Australia: Western Australia, Three Springs",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Theodore Hilton Fell,https://www.awm.gov.au/people/P10678340/#biography,10 July 1900,1900-07-10,"Australia: New South Wales, Nyngan",1918-10-15,none,1919-03-25,none,none,none,none,none,"95610 - First World War, 1914-1918",none,none,none,none
Duncan Ferguson,https://www.awm.gov.au/people/P10678346/#biography,1885,1885,"Australia: New South Wales, Darlington Point",none,none,none,none,3rd Australian Infantry Battalion,none,none,none,"1449 - First World War, 1914-1918",none,none,none,none
Lance Corporal John Ferguson,https://www.awm.gov.au/people/P10678347/#biography,1893,1893,"Australia: New South Wales, Darlington Point",none,Lance Corporal,none,none,34th Australian Infantry Battalion,none,1916-09-30,none,"2405 - First World War, 1914-1918",none,none,none,none
Private Arthur Firebrace,https://www.awm.gov.au/people/P10613786/#biography,1877,1877,"Australia: New South Wales, Moulamein",none,Private,none,none,none,none,1916-06-20,none,"1638 - First World War, 1914-1918",none,none,none,none
Lance Corporal John Arthur Firebrace,https://www.awm.gov.au/people/P10678348/#biography,1897,1897,"Australia: New South Wales, Moulamein",none,Lance Corporal,none,none,59th Australian Infantry Battalion,none,1916-06-20,none,"1637 - First World War, 1914-1918",9 August 1918,1918-08-09,"France: Picardie, Somme, Harbonnieres",none
Private William Reginald Firebrace,https://www.awm.gov.au/people/P10678349/#biography,1895,1895,"Australia: New South Wales, Edward River",none,Private,none,none,24th Australian Infantry Battalion,none,1917-11-21,none,"6802A - First World War, 1914-1918",15 August 1918,1918-08-15,France,none
Trooper Ernest James Firth,https://www.awm.gov.au/people/P10678352/#biography,1886,1886,"Australia: New South Wales, Pilliga",none,Trooper,none,none,1st Australian Light Horse Regiment,none,1915-10-23,none,"1696 - First World War, 1914-1918",3 November 1917,1917-11-03,Ottoman Empire: Palestine,none
Private Francis Walter Bertie Firth,https://www.awm.gov.au/people/P10568328/#biography,1888,1888,"Australia: New South Wales, Pilliga",none,Private,none,none,2nd Australian Divisional Mechanical Transport Company,none,1915-08-16,none,"1162 - First World War, 1914-1918",none,none,none,none
Private Frank Fisher,https://www.awm.gov.au/people/P10656791/#biography,27 August 1880,1880-08-27,"Australia: Queensland, Clermont",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2428 - First World War, 1914-1918",none,none,none,none
Private George Godfrey Fisher,https://www.awm.gov.au/people/P10641804/#biography,1893,1893,"Australia: Tasmania, Launceston",none,Private,none,none,4th Australian Machine Gun Company,none,1916-09-19,none,"374 - First World War, 1914-1918",none,none,none,none
James Fisher,https://www.awm.gov.au/people/P10681481/#biography,none,none,none,none,none,none,none,"Medical, Dental and Nursing",none,none,none,"Q19615 - First World War, 1914-1918",none,none,none,none
Private John Albert Fisher,https://www.awm.gov.au/people/P10678353/#biography,1889,1889,"Australia: Tasmania, Launceston",none,Private,none,none,40th Australian Infantry Battalion,none,1916-10-21,none,"2328 - First World War, 1914-1918",13 October 1917,1917-10-13,Belgium,none
Sapper John Fitzgerald,https://www.awm.gov.au/people/P10602462/#biography,1889,1889,"Australia: Western Australia, York",none,Sapper,none,none,2nd Australian Tunnelling Company,none,1917-11-26,none,"8275 - First World War, 1914-1918",none,none,none,none
Private Joe Fitzroy,https://www.awm.gov.au/people/P10656790/#biography,10 August 1896,1896-08-10,"Australia: Queensland, Eulo",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2427 - First World War, 1914-1918",none,none,none,none
Private Michael Flick,https://www.awm.gov.au/people/P10551954/#biography,1892,1892,"Australia: New South Wales, Collarenebri",none,Private,none,none,29th Australian Infantry Battalion,none,1916-11-03,none,"4292 - First World War, 1914-1918",none,none,none,none
Private Charles William Foley,https://www.awm.gov.au/people/P10487387/#biography,1881,1881,"Australia: Queensland, Brisbane, Stradbroke Island",none,Private,none,none,"49th Australian Infantry Battalion
69th Australian Infantry Battalion
13th Australian Machine Gun Company",none,1915-12-30,none,"3753 - First World War, 1914-1918",none,none,none,none
Private Curtis Ford,https://www.awm.gov.au/people/P10678355/#biography,1889,1889,"Australia: Queensland, Southport",none,Private,none,none,15th Australian Infantry Battalion,none,1916-03-28,none,"4784 - First World War, 1914-1918",5 June 1919,1919-06-05,Australia,none
Private Thomas Henry Ford,https://www.awm.gov.au/people/P10677665/#biography,1894,1894,"Australia: Western Australia, Katanning",none,Private,none,none,31st Australian Infantry Battalion,none,1916-12-23,none,"4655 - First World War, 1914-1918",26 September 1917,1917-09-26,Belgium,none
Alexander Forrest,https://www.awm.gov.au/people/P10681482/#biography,none,none,"Australia: Western Australia, Mount Margaret",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private George Foster,https://www.awm.gov.au/people/P10521484/#biography,1894,1894,"Australia: Queensland, Bollon",none,Private,none,none,49th Australian Infantry Battalion,none,1917-08-01,none,"3641 - First World War, 1914-1918",none,none,none,none
Private Arthur Henry Fox,https://www.awm.gov.au/people/P10524591/#biography,1895,1895,"Australia: South Australia, Mannum",none,Private,none,none,38th Australian Infantry Battalion,none,1916-09-25,none,"2189 - First World War, 1914-1918",none,none,none,none
Private Charles Aubrey Fox,https://www.awm.gov.au/people/P10678357/#biography,1885,1885,"Australia: Queensland, North Queensland, Cooktown",none,Private,none,none,52nd Australian Infantry Battalion,none,1917-10-31,none,"3635 - First World War, 1914-1918",24 April 1918,1918-04-24,France,none
Private Samson Daniel Fox,https://www.awm.gov.au/people/P10682746/#biography,none,none,"Australia: South Australia, Morgan",none,Private,none,none,38th Australian Infantry Battalion,none,1915-09-27,none,"5257 - First World War, 1914-1918",28 May 1917,1917-05-28,Belgium,none
Driver Albert Franklin,https://www.awm.gov.au/people/P10395114/#biography,23 December 1894,1894-12-23,"Australia: Victoria, Yea",none,Driver,none,none,1st Australian Remount Unit,none,1918-01-16,none,"97 - First World War, 1914-1918",none,none,none,none
Private Leslie Franklin,https://www.awm.gov.au/people/P10365630/#biography,1896,1896,"Australia: Victoria, Yea",none,Private,none,none,1st Australian Division Signals Company,none,1915-05-10,none,"878 - First World War, 1914-1918",none,none,none,none
Private Walter Lane Franklin,https://www.awm.gov.au/people/P10553606/#biography,1890,1890,"Australia: Victoria, Yea",none,Private,none,none,"29th Australian Infantry Battalion
32nd Australian Infantry Battalion",none,1916-07-04,none,"3347 - First World War, 1914-1918",none,none,none,none
Private Leslie Franks,https://www.awm.gov.au/people/P10627676/#biography,1889,1889,"Australia: New South Wales, Sydney",none,Private,none,none,"4th ANZAC Camel Battalion
3rd Australian Camel Company
4th Australian Camel Company
1st Australian Light Horse Field Ambulance",none,1916-03-31,none,"2334 - First World War, 1914-1918",none,none,none,none
Private Walter Franks,https://www.awm.gov.au/people/P10442175/#biography,1890,1890,"Australia: New South Wales, Sydney, Paddington",none,Private,none,none,none,none,1914-09-24,none,"263 - First World War, 1914-1918598 - First World War, 1914-1918",1939,1939,none,none
Private Harold William Francis Frazer,https://www.awm.gov.au/people/P10508133/#biography,1892,1892,"Australia: New South Wales, Goodooga",none,Private,none,none,34th Australian Infantry Battalion,none,1916-05-02,none,"69 - First World War, 1914-1918",none,none,none,none
Private Ranji Alfred Freeman,https://www.awm.gov.au/people/P10387745/#biography,1894,1894,"Australia: New South Wales, Walgett",none,Private,none,none,18th Australian Infantry Battalion,none,1917-02-07,none,"6546 - First World War, 1914-1918",none,none,none,none
Private Thomas Fuller,https://www.awm.gov.au/people/P10613199/#biography,23 November 1896,1896-11-23,"Australia: New South Wales, Baradine",none,Private,none,none,33rd Australian Infantry Battalion,none,1917-01-24,none,"3055 - First World War, 1914-1918",none,none,none,none
Private Charles Alfred Gage,https://www.awm.gov.au/people/P10678358/#biography,1891,1891,"Australia: New South Wales, Eugowra",none,Private,none,none,56th Australian Infantry Battalion,none,1916-08-05,none,"3558 - First World War, 1914-1918",3 December 1916,1916-12-03,France,none
Lance Corporal Christopher Henry Gage,https://www.awm.gov.au/people/P10678359/#biography,1887,1887,"Australia: New South Wales, Eugowra",none,Lance Corporal,none,none,54th Australian Infantry Battalion,none,1916-08-19,none,"2158 - First World War, 1914-1918",26 September 1917,1917-09-26,Belgium,none
Private Charles Patrick Gallaher,https://www.awm.gov.au/people/P10609089/#biography,1889,1889,"Australia: Queensland, Murphys Creek",none,Private,none,none,26th Australian Infantry Battalion,none,1916-05-04,none,"5023 - First World War, 1914-1918",25 September 1949,1949-09-25,none,none
Private Ernest Alexander Gallaher,https://www.awm.gov.au/people/P10482305/#biography,8 March 1900,1900-03-08,"Australia: Queensland, Laidley",none,Private,none,none,26th Australian Infantry Battalion,none,1916-10-21,none,"5839 - First World War, 1914-1918Q5385 - Second World War, 1939-1945",18 July 1973,1973-07-18,none,none
Private Arthur Gaunt,https://www.awm.gov.au/people/P10392858/#biography,1896,1896,"Australia: Western Australia, Wagin",none,Private,none,none,"2nd Australian Divisional Train
16th Australian Army Service Corps Company",none,1915-09-23,none,"7008 - First World War, 1914-1918",none,none,none,none
Trooper John Geary,https://www.awm.gov.au/people/P10017748/#biography,10 February 1894,1894-02-10,"Australia: Queensland, Bundaberg",none,Trooper,none,none,11th Australian Light Horse Regiment,none,none,none,"2429 - First World War, 1914-1918",4 December 1954,1954-12-04,none,none
Kingsley Giles,https://www.awm.gov.au/people/P10681938/#biography,none,none,"Australia: South Australia, Point McLeay",none,none,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Edward Stanley Golden,https://www.awm.gov.au/people/P10678364/#biography,17 November 1897,1897-11-17,"Australia: New South Wales, Narrabri",1918-09-18,none,1918-10-22,none,none,none,none,none,"N94569 - First World War, 1914-1918",none,none,none,none
Private James Golden,https://www.awm.gov.au/people/P10592673/#biography,1894,1894,"Australia: New South Wales, Baan Baa",none,Private,none,none,20th Australian Infantry Battalion,none,1917-06-21,none,"6787 - First World War, 1914-1918",none,none,none,none
Lance Corporal Charles Edward Goldspink,https://www.awm.gov.au/people/P10678366/#biography,1892,1892,"Australia: New South Wales, Forbes",none,Lance Corporal,none,none,"54th Australian Infantry Battalion
56th Australian Infantry Battalion",none,1916-06-05,none,"5019 - First World War, 1914-1918",1958,1958,"Australia: New South Wales, Sydney, Marrickville",none
Corporal James Alfred Goldspink,https://www.awm.gov.au/people/P10678368/#biography,1890,1890,"Australia: New South Wales, Forbes",none,Corporal,none,none,3rd Australian Infantry Battalion,none,1915-11-02,none,"2635 - First World War, 1914-1918",9 April 1917,1917-04-09,France,none
Private William Hamilton Goldspink,https://www.awm.gov.au/people/P10678371/#biography,1881,1881,"Australia: New South Wales, Tumbarumba",none,Private,none,none,6th Australian Infantry Battalion,none,1915-06-17,none,"2172 - First World War, 1914-19182172A - First World War, 1914-1918",8 December 1916,1916-12-08,France,none
Private Walter Gollan,https://www.awm.gov.au/people/P10678372/#biography,1898,1898,"Australia: South Australia, Point McLeay",none,Private,none,none,43rd Australian Infantry Battalion,none,1916-12-16,none,"4529 - First World War, 1914-1918",27 December 1950,1950-12-27,none,none
Private Donald Leslie Goodfellow,https://www.awm.gov.au/people/P10659440/#biography,1895,1895,"Australia: New South Wales, Mittagong",none,Private,none,none,12th Australian Light Horse Regiment,none,1916-09-19,none,"2034 - First World War, 1914-1918",none,none,none,none
